ID,Metadata,NBT Tag Compound,Display Name,Tooltip,Translation Key,Class Name,Is ItemBlock,OreDict Names,Max Stack Size,Max Damage,Model Name
flying_things:enchanted_broom,0,,§6Enchanted Broom,Hold SHIFT for more infos,flying_things.item.enchanted_broom,ovh.corail.flying_things.item.ItemEnchantedBroom,-,,1,0,flying_things:enchanted_broom#inventory
flying_things:enchanted_broom,1,,§6Enchanted Broom,Hold SHIFT for more infos,flying_things.item.enchanted_broom,ovh.corail.flying_things.item.ItemEnchantedBroom,-,,1,0,flying_things:enchanted_broom#inventory
flying_things:enchanted_broom,2,,§6Enchanted Broom,Hold SHIFT for more infos,flying_things.item.enchanted_broom,ovh.corail.flying_things.item.ItemEnchantedBroom,-,,1,0,flying_things:enchanted_broom#inventory
flying_things:enchanted_broom,3,,§6Enchanted Broom,Hold SHIFT for more infos,flying_things.item.enchanted_broom,ovh.corail.flying_things.item.ItemEnchantedBroom,-,,1,0,flying_things:enchanted_broom#inventory
flying_things:enchanted_broom,4,,§6Enchanted Broom,Hold SHIFT for more infos,flying_things.item.enchanted_broom,ovh.corail.flying_things.item.ItemEnchantedBroom,-,,1,0,flying_things:enchanted_broom#inventory
flying_things:enchanted_broom,5,,§6Enchanted Broom,Hold SHIFT for more infos,flying_things.item.enchanted_broom,ovh.corail.flying_things.item.ItemEnchantedBroom,-,,1,0,flying_things:enchanted_broom#inventory
flying_things:enchanted_broom,6,,§6Enchanted Broom,Hold SHIFT for more infos,flying_things.item.enchanted_broom,ovh.corail.flying_things.item.ItemEnchantedBroom,-,,1,0,flying_things:enchanted_broom#inventory
flying_things:enchanted_broom,7,,§6Enchanted Broom,Hold SHIFT for more infos,flying_things.item.enchanted_broom,ovh.corail.flying_things.item.ItemEnchantedBroom,-,,1,0,flying_things:enchanted_broom#inventory
flying_things:enchanted_broom,8,,§6Enchanted Broom,Hold SHIFT for more infos,flying_things.item.enchanted_broom,ovh.corail.flying_things.item.ItemEnchantedBroom,-,,1,0,flying_things:enchanted_broom#inventory
flying_things:enchanted_broom,9,,§6Enchanted Broom,Hold SHIFT for more infos,flying_things.item.enchanted_broom,ovh.corail.flying_things.item.ItemEnchantedBroom,-,,1,0,flying_things:enchanted_broom#inventory
flying_things:enchanted_broom,10,,§6Enchanted Broom,Hold SHIFT for more infos,flying_things.item.enchanted_broom,ovh.corail.flying_things.item.ItemEnchantedBroom,-,,1,0,flying_things:enchanted_broom#inventory
flying_things:enchanted_broom,11,,§6Enchanted Broom,Hold SHIFT for more infos,flying_things.item.enchanted_broom,ovh.corail.flying_things.item.ItemEnchantedBroom,-,,1,0,flying_things:enchanted_broom#inventory
flying_things:enchanted_broom,12,,§6Enchanted Broom,Hold SHIFT for more infos,flying_things.item.enchanted_broom,ovh.corail.flying_things.item.ItemEnchantedBroom,-,,1,0,flying_things:enchanted_broom#inventory
flying_things:enchanted_broom,13,,§6Enchanted Broom,Hold SHIFT for more infos,flying_things.item.enchanted_broom,ovh.corail.flying_things.item.ItemEnchantedBroom,-,,1,0,flying_things:enchanted_broom#inventory
flying_things:enchanted_broom,14,,§6Enchanted Broom,Hold SHIFT for more infos,flying_things.item.enchanted_broom,ovh.corail.flying_things.item.ItemEnchantedBroom,-,,1,0,flying_things:enchanted_broom#inventory
flying_things:enchanted_broom,15,,§6Enchanted Broom,Hold SHIFT for more infos,flying_things.item.enchanted_broom,ovh.corail.flying_things.item.ItemEnchantedBroom,-,,1,0,flying_things:enchanted_broom#inventory
flying_things:magic_carpet,0,,§6Magic Carpet,Hold SHIFT for more infos,flying_things.item.magic_carpet,ovh.corail.flying_things.item.ItemMagicCarpet,-,,1,0,flying_things:magic_carpet#inventory
flying_things:magic_carpet,1,,§6Magic Carpet,Hold SHIFT for more infos,flying_things.item.magic_carpet,ovh.corail.flying_things.item.ItemMagicCarpet,-,,1,0,flying_things:magic_carpet#inventory
flying_things:magic_carpet,2,,§6Magic Carpet,Hold SHIFT for more infos,flying_things.item.magic_carpet,ovh.corail.flying_things.item.ItemMagicCarpet,-,,1,0,flying_things:magic_carpet#inventory
flying_things:magic_carpet,3,,§6Magic Carpet,Hold SHIFT for more infos,flying_things.item.magic_carpet,ovh.corail.flying_things.item.ItemMagicCarpet,-,,1,0,flying_things:magic_carpet#inventory
flying_things:magic_carpet,4,,§6Magic Carpet,Hold SHIFT for more infos,flying_things.item.magic_carpet,ovh.corail.flying_things.item.ItemMagicCarpet,-,,1,0,flying_things:magic_carpet#inventory
flying_things:magic_carpet,5,,§6Magic Carpet,Hold SHIFT for more infos,flying_things.item.magic_carpet,ovh.corail.flying_things.item.ItemMagicCarpet,-,,1,0,flying_things:magic_carpet#inventory
flying_things:magic_carpet,6,,§6Magic Carpet,Hold SHIFT for more infos,flying_things.item.magic_carpet,ovh.corail.flying_things.item.ItemMagicCarpet,-,,1,0,flying_things:magic_carpet#inventory
flying_things:magic_carpet,7,,§6Magic Carpet,Hold SHIFT for more infos,flying_things.item.magic_carpet,ovh.corail.flying_things.item.ItemMagicCarpet,-,,1,0,flying_things:magic_carpet#inventory
flying_things:magic_carpet,8,,§6Magic Carpet,Hold SHIFT for more infos,flying_things.item.magic_carpet,ovh.corail.flying_things.item.ItemMagicCarpet,-,,1,0,flying_things:magic_carpet#inventory
flying_things:magic_carpet,9,,§6Halloween Carpet,Hold SHIFT for more infos,flying_things.item.magic_carpet,ovh.corail.flying_things.item.ItemMagicCarpet,-,,1,0,flying_things:magic_carpet#inventory
flying_things:magic_carpet,10,,§6Halloween Carpet,Hold SHIFT for more infos,flying_things.item.magic_carpet,ovh.corail.flying_things.item.ItemMagicCarpet,-,,1,0,flying_things:magic_carpet#inventory
flying_things:magic_carpet,11,,§6Halloween Carpet,Hold SHIFT for more infos,flying_things.item.magic_carpet,ovh.corail.flying_things.item.ItemMagicCarpet,-,,1,0,flying_things:magic_carpet#inventory
